date,street_name,hour,day_of_week,day_number,is_weekend,is_peak_hour,probe_count,segment_count,average_speed_limit,average_frc,total_distance
2024-08-11,Mahatma Gandhi Marg,0,Sunday,6,1,0,285435,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,1,Sunday,6,1,0,238136,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,2,Sunday,6,1,0,181220,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,3,Sunday,6,1,0,141749,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,4,Sunday,6,1,0,125713,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,5,Sunday,6,1,0,136660,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,6,Sunday,6,1,0,180437,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,7,Sunday,6,1,1,189346,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,8,Sunday,6,1,1,203877,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,9,Sunday,6,1,1,223514,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,10,Sunday,6,1,0,302886,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,11,Sunday,6,1,0,387699,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,12,Sunday,6,1,0,468782,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,13,Sunday,6,1,0,554087,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,14,Sunday,6,1,0,580808,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,15,Sunday,6,1,0,573670,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,16,Sunday,6,1,0,392920,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,17,Sunday,6,1,1,352108,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,18,Sunday,6,1,1,330138,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,19,Sunday,6,1,1,357125,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,20,Sunday,6,1,1,360889,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,21,Sunday,6,1,0,313650,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,22,Sunday,6,1,0,265377,1052,52.443,1.5722,62245.45
2024-08-11,Mahatma Gandhi Marg,23,Sunday,6,1,0,215297,1052,52.443,1.5722,62245.45
2024-08-11,Mathura Road,0,Sunday,6,1,0,108792,759,49.1331,1.9763,50900.63
2024-08-11,Mathura Road,1,Sunday,6,1,0,70597,759,49.1331,1.9763,50900.63
2024-08-11,Mathura Road,2,Sunday,6,1,0,47173,759,49.1331,1.9763,50900.63
2024-08-11,Mathura Road,3,Sunday,6,1,0,41674,759,49.1331,1.9763,50900.63
2024-08-11,Mathura Road,4,Sunday,6,1,0,43791,759,49.1331,1.9763,50900.63
2024-08-11,Mathura Road,5,Sunday,6,1,0,49580,759,49.1331,1.9763,50900.63
2024-08-11,Mathura Road,6,Sunday,6,1,0,70257,759,49.1331,1.9763,50900.63
2024-08-11,Mathura Road,7,Sunday,6,1,1,81343,759,49.1331,1.9763,50900.63
2024-08-11,Mathura Road,8,Sunday,6,1,1,73280,759,49.1331,1.9763,50900.63
2024-08-11,Mathura Road,9,Sunday,6,1,1,79766,759,49.1331,1.9763,50900.63
2024-08-11,Mathura Road,10,Sunday,6,1,0,106461,759,49.1331,1.9763,50900.63
2024-08-11,Mathura Road,11,Sunday,6,1,0,137563,759,49.1331,1.9763,50900.63
2024-08-11,Mathura Road,12,Sunday,6,1,0,169816,759,49.1331,1.9763,50900.63
2024-08-11,Mathura Road,13,Sunday,6,1,0,190294,759,49.1331,1.9763,50900.63
2024-08-11,Mathura Road,14,Sunday,6,1,0,195245,759,49.1331,1.9763,50900.63
2024-08-11,Mathura Road,15,Sunday,6,1,0,191855,759,49.1331,1.9763,50900.63
2024-08-11,Mathura Road,16,Sunday,6,1,0,159515,759,49.1331,1.9763,50900.63
