transformed_feature,importance,feature,grouped_feature
numeric__probe_count,0.9710383041149354,probe_count,probe_count
numeric__target_hour,0.008800417505551255,target_hour,target_hour
numeric__rolling_mean_3,0.00620411873010721,rolling_mean_3,rolling_mean_3
numeric__lag_1,0.00567072552714383,lag_1,lag_1
numeric__rolling_mean_24,0.0038347086175766006,rolling_mean_24,rolling_mean_24
numeric__lag_24,0.0016522703419424975,lag_24,lag_24
numeric__target_day_number,0.0007683343140823732,target_day_number,target_day_number
numeric__target_is_peak_hour,0.0005128175139725691,target_is_peak_hour,target_is_peak_hour
numeric__average_speed_limit,0.00025362767608264763,average_speed_limit,average_speed_limit
numeric__average_frc,0.00024156044392550843,average_frc,average_frc
numeric__total_distance,0.00023164026357304883,total_distance,total_distance
numeric__segment_count,0.0001974656589510771,segment_count,segment_count
road__street_name_Mathura Road,0.00018216262261168184,street_name_Mathura Road,street_name
numeric__target_is_weekend,0.00011464267695844987,target_is_weekend,target_is_weekend
road__street_name_Outer Ring Road,0.00011251597811443622,street_name_Outer Ring Road,street_name
road__street_name_Mahatma Gandhi Marg,8.152630342178983e-05,street_name_Mahatma Gandhi Marg,street_name
road__street_name_Barapullah Road,4.716892261383147e-05,street_name_Barapullah Road,street_name
road__street_name_Aurobindo Marg,4.30875002896008e-05,street_name_Aurobindo Marg,street_name
road__street_name_Sardar Patel Marg,4.300301124660601e-06,street_name_Sardar Patel Marg,street_name
road__street_name_Vikas Marg,4.1864077281395e-06,street_name_Vikas Marg,street_name
road__street_name_Mehrauli Badarpur Road,2.2950813616231074e-06,street_name_Mehrauli Badarpur Road,street_name
road__street_name_Noida Link Road,1.0876382446333054e-06,street_name_Noida Link Road,street_name
road__street_name_Africa Avenue,1.0358596871576014e-06,street_name_Africa Avenue,street_name
