grouped_feature,importance,importance_percentage
probe_count,0.9710383041149354,97.10383041149355
target_hour,0.008800417505551255,0.8800417505551255
rolling_mean_3,0.00620411873010721,0.620411873010721
lag_1,0.00567072552714383,0.567072552714383
rolling_mean_24,0.0038347086175766006,0.38347086175766004
lag_24,0.0016522703419424975,0.16522703419424975
target_day_number,0.0007683343140823732,0.07683343140823733
target_is_peak_hour,0.0005128175139725691,0.05128175139725691
street_name,0.00047936661519755425,0.047936661519755425
average_speed_limit,0.00025362767608264763,0.025362767608264763
average_frc,0.00024156044392550843,0.024156044392550844
total_distance,0.00023164026357304883,0.023164026357304884
segment_count,0.0001974656589510771,0.01974656589510771
target_is_weekend,0.00011464267695844987,0.011464267695844988
