street_name,records,MAE,RMSE,R2,WAPE_Percentage
Africa Avenue,96,2420.2374185568483,3444.400662007328,0.9589830989416416,7.916651351288662
Mehrauli Badarpur Road,96,2681.2182336121637,3515.9678244082766,0.9613742146166724,7.377240868529008
Vikas Marg,96,2704.102657015823,3476.828498617361,0.9251202981873161,7.402447914975883
Noida Link Road,96,2723.4451586762984,3713.107549682944,0.9456751215973201,8.482617746738999
Sardar Patel Marg,96,3600.4214795181633,4741.920816009184,0.9407997742250347,7.5504327126525865
Aurobindo Marg,96,5784.354115579146,7777.5729033103935,0.9785454169472401,5.1915732514707695
Barapullah Road,96,5934.547169700476,8393.760584527507,0.9448456254107162,8.640160251460431
Mathura Road,96,7379.436063847614,9489.959700950536,0.9802510722583772,5.133422163482882
Outer Ring Road,96,15029.695543847456,19698.439790323908,0.965364516664635,6.298425615798539
Mahatma Gandhi Marg,96,20892.779341941063,27767.21764045148,0.9704221673494604,5.554693135684217
